antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
['Spatula'],['Other'],0.003789332310053722,0.043073676132003066,0.0010552570990023024,0.2784810126582279,6.46522511347298,1.0,0.0008920366263225134,1.326266308518803,0.8485417514740063,0.02303664921465969,0.24600361663652806,0.1514899495362409
['Other'],['Spatula'],0.043073676132003066,0.003789332310053722,0.0010552570990023024,0.0244988864142539,6.465225113472979,1.0,0.0008920366263225134,1.021229657061155,0.8833766233766235,0.02303664921465969,0.020788327987113744,0.1514899495362409
['Plastik / Wadah Plastik'],['Peralatan Makan'],0.012231389102072141,0.01793937068303914,0.0010072908672294704,0.08235294117647059,4.590625983013527,1.0,0.000787867444158913,1.0701942755377138,0.7918502126242621,0.03453947368421052,0.06559021772233364,0.06925133689839572
['Peralatan Makan'],['Plastik / Wadah Plastik'],0.01793937068303914,0.012231389102072141,0.0010072908672294704,0.05614973262032086,4.590625983013527,1.0,0.000787867444158913,1.0465310495065865,0.7964526437711943,0.03453947368421052,0.044462177714196534,0.06925133689839572
['Other'],['Sapu / Pembersih Lantai'],0.043073676132003066,0.005276285495011512,0.0010072908672294704,0.02338530066815145,4.432152257542013,1.0,0.000780021854637359,1.0185426403939335,0.8092326053228308,0.021276595744680854,0.018205070321613528,0.10714719578862117
['Sapu / Pembersih Lantai'],['Other'],0.005276285495011512,0.043073676132003066,0.0010072908672294704,0.1909090909090909,4.432152257542012,1.0,0.000780021854637359,1.182717928376176,0.7784834832766167,0.021276595744680854,0.15448986101617682,0.10714719578862117
['Other'],['Pisau / Alat Potong'],0.043073676132003066,0.008537989255564083,0.0015349194167306216,0.0356347438752784,4.173669327594405,1.0,0.0011671568327179323,1.0280980203793344,0.7946303258145363,0.030651340996168588,0.027330098708843932,0.1077050123870774
['Pisau / Alat Potong'],['Other'],0.008537989255564083,0.043073676132003066,0.0015349194167306216,0.1797752808988764,4.173669327594404,1.0,0.0011671568327179323,1.1666636003322155,0.7669508950169327,0.030651340996168588,0.14285489003407392,0.1077050123870774
['Peralatan Makan'],['Botol / Gelas / Mug'],0.01793937068303914,0.02168073676132003,0.0015828856485034536,0.08823529411764708,4.069755335762625,1.0,0.0011939468750607402,1.0729953209714556,0.7680635602878448,0.0416141235813367,0.06802948675057395,0.0806220718375846
['Botol / Gelas / Mug'],['Peralatan Makan'],0.02168073676132003,0.01793937068303914,0.0015828856485034536,0.07300884955752213,4.069755335762624,1.0,0.0011939468750607402,1.0594066932011128,0.7710008498398379,0.0416141235813367,0.05607543692367009,0.0806220718375846
['Other'],['Plastik / Wadah Plastik'],0.043073676132003066,0.012231389102072141,0.001918649270913277,0.044543429844097995,3.6417310799598237,1.0,0.0013917983780861098,1.033818429587808,0.7580576441102758,0.03593890386343217,0.03271215584857743,0.1007030874710686
['Plastik / Wadah Plastik'],['Other'],0.012231389102072141,0.043073676132003066,0.001918649270913277,0.1568627450980392,3.6417310799598237,1.0,0.0013917983780861098,1.1349591283085545,0.7343878988005633,0.03593890386343217,0.11891100299769031,0.1007030874710686
['Peralatan Makan'],['Other'],0.01793937068303914,0.043073676132003066,0.002398311588641596,0.13368983957219252,3.1037480795112136,1.0,0.0016255969458284177,1.104600139279725,0.6901904854937971,0.04091653027823241,0.09469502633589322,0.09468456343865751
['Other'],['Peralatan Makan'],0.043073676132003066,0.01793937068303914,0.002398311588641596,0.0556792873051225,3.1037480795112136,1.0,0.0016255969458284177,1.0399651475549891,0.7083187969924813,0.04091653027823241,0.038429314337071106,0.09468456343865751
